ICD 10 CODE,DESCRIPTION,GROUP,
H60.2,Malignant otitis externa,DISEASES OF EXTERNAL EAR,
H60.3,Other infective otitis externa; diffuse Otitis externa ; Haemorrhagic Otitis externa ; Swimmer's ear,DISEASES OF EXTERNAL EAR,
H60.4,Cholesteatoma of external ear; Keratosis obturans of external ear (canal),DISEASES OF EXTERNAL EAR,
H83.0,Labyrinthitis,DISEASES OF INNER EAR,
H83.8,Other specified diseases of inner ear,DISEASES OF INNER EAR,
H68.1,Obstruction of Eustachian tube; Compression  of Eustachian tube; Stenosis of Eustachian tube; Stricture of Eustachian tube,DISEASES OF MIDDLE EAR AND MASTOID,
H69.9,"Eustachian tube disorder, unspecified",DISEASES OF MIDDLE EAR AND MASTOID,
H70.0,Acute mastoiditis; Abscess of mastoid; Empyema of mastoid,DISEASES OF MIDDLE EAR AND MASTOID,
H70.1,Chronic mastoiditis; Caries of mastoid; Fistula of mastoid,DISEASES OF MIDDLE EAR AND MASTOID,
H70.2,Petrositis; Acute inflammation of petrous bone; Chronic inflammation of petrous bone,DISEASES OF MIDDLE EAR AND MASTOID,
H70.8,Other mastoiditis and related conditions,DISEASES OF MIDDLE EAR AND MASTOID,
H70.9,"Mastoiditis, unspecified",DISEASES OF MIDDLE EAR AND MASTOID,
H71,Cholesteatoma of middle ear; Cholesteatoma tympani; Perforation of tympanic membrane;  Persistent post-traumatic perforation of ear drum; Postinflammatory  perforation of ear drum,DISEASES OF MIDDLE EAR AND MASTOID,
H73.0,Acute myringitis; Acute tympanitis; Bullous myringitis,DISEASES OF MIDDLE EAR AND MASTOID,
H73.1,Chronic myringitis; Chronic tympanitis,DISEASES OF MIDDLE EAR AND MASTOID,
H73.8,Other specified disorders of tympanic membrane,DISEASES OF MIDDLE EAR AND MASTOID,
H73.9,"Disorder of tympanic membrane, unspecified",DISEASES OF MIDDLE EAR AND MASTOID,
H74.8,Other specified disorders of middle ear and mastoid,DISEASES OF MIDDLE EAR AND MASTOID,
H74.9,"Disorder of middle ear and mastoid, unspecified",DISEASES OF MIDDLE EAR AND MASTOID,
K09.0,Developmental odontogenic cysts; Dentigerous cyst; Eruption Cyst; Follicular cyst; Gingival cyst; Lateral periodontal cyst; Primordial cyst; Keratocyst,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K09.1,Developmental (nonodontogenic) cysts of oral region; Cyst of globulomaxillary; Cyst of incisive canal; Cyst of median palatal; Cyst of nasopalatine; Cyst of palatine papilla,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K09.2,Other cysts of jaw; Cyst of jaw NOS; Aneurysmal cyst of jaw; Haemorrhagic cyst of jaw; Traumatic cyst of jaw,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K09.8,"Other cysts of oral region, not elsewhere classified; Dermoid cyst of mouth; Epidermoid cyst of mouth; Lymphoepithelial cyst of mouth; Epstein's pearl; Nasoalveolar cyst; Nasolabial cyst","DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K09.9,"Cyst of oral region, unspecified","DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K10.0,Developmental disorders of jaws; Latent bone cyst of jaw; Stafne's cyst; Torus mandibularis; Torus palatinus,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K10.1,"Giant cell granuloma, central; Giant cell granuloma NOS","DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K10.2,"Inflammatory conditions of jaws; Acute osteitis of jaw; Chronic osteitis of jaw; Supparative osteitis of jaw; Acute neonatal osteomyelitis of jaw; Chronic neonatal osteomyelitis of jaw; Supparative neonatal osteomyelitis of jaw; Acute osteoradionecrosis of jaw; chronic osteoradionecrosis of jaw; Suppurative osteoradionecrosis of jaw; Acute periostitis of jaw; Chronic periortitis of jaw; Suppurative periortitis of jaw; Sequestrum, of jaw bone","DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K10.3,Alveolitis of jaws; Alveolar osteitis; Dry socket,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K10.8,Other specified diseases of jaws; Cherubism of jaw; Exostosis of jaw; Fibrous dysplasia of jaw; Unilateral condylar hyperplasia; Unilateral condylar hypoplasia,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K11.2,Sialoadenitis,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K11.3,Abscess of salivary gland,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K11.4,Fistula of salivary gland,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K11.5,Sialolithiasis; Calculus of salivary gland or duct; Stone of salivary gland or duct,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K11.6,Mucocele of salivary gland; Mucous extravasation cyst of salivary gland; Mucous retention cyst of salivary gland; Ranula,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K11.8,Other diseases of salivary glands; Benign lymphoepithelial lesion of salivary gland; Mikulicz' disease; Necrotizing sialometaplasia; Sialectasia; Stenosis of salivary duct; Stricture of salivary duct,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K11.9,"Disease of salivary gland, unspecified; Sialoadenopathy NOS","DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K12.2,Cellulitis and abscess of mouth; Cellulitis of floor of mouth; Submandibular abscess,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K13.4,Granuloma and granuloma-like lesions of oral mucosa; Eosinophilic granuloma of oral mucosa; Granuloma pyogenicum of oral mucosa; Verrucous xanthoma of oral mucosa,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K13.7,Other and unspecified lesions of oral mucosa; Focal oral mucinosis,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS,  AND JAW",
K31.1,Adult hypertrophic pyloric stenosis; Pyloric stenosis NOS,DISEASES OF STOMACH AND DUODENUM,
K31.2,Hourglass stricture and stenosis of stomach,DISEASES OF STOMACH AND DUODENUM,
K31.3,"Pylorospasm, not elsewhere classified",DISEASES OF STOMACH AND DUODENUM,
K31.4,Gastric diverticulum,DISEASES OF STOMACH AND DUODENUM,
K31.5,Obstruction of duodenum; Constriction of duodenum; Stenosis of duodenum; Stricture of duodenum; Chronic duodenal ileus,DISEASES OF STOMACH AND DUODENUM,
K31.6,Fistula of stomach and duodenum; Gastrocolic fistula; Gastrojejunocolic fistula,DISEASES OF STOMACH AND DUODENUM,
K31.7,Polyp of stomach and duodenum,DISEASES OF STOMACH AND DUODENUM,
K31.8,Other specified diseases of stomach and duodenum; Achlorhydria; Gastroptosis; Hourglass contraction of stomach,DISEASES OF STOMACH AND DUODENUM,
K74.4,Secondary biliary cirrhosis,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K74.5,"Biliary cirrhosis, unspecified",DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K80.2,Calculus of gallbladder without cholecystitis; Cholecystolithiasis unspecified or without cholecystitis; Cholelithiasis unspecified or without cholecystitis; Recurrent colic of gallbladder unspecified or without cholecystitis; Impacted gallstone of cystic duct unspecified or without cholecystitis; impacted gallstone of gallbladder unspecified or without cholecystitis,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K80.5,Calculus of bile duct without cholangitis or cholecystitis; Choledocholithiasis unspecified or without cholangitis or cholecystitis; Impacted gallstone of bile duct NOS unspecified or without cholangitis or cholecystitis; Impacted gallstone of common duct unspecified or without cholangitis or cholecystitis; Impacted gallstone of hepatic duct unspecified or without cholangitis or cholecystitis; Hepatic cholelithiasis unspecified or without cholangitisor cholecystitis; Hepatic recurrent colic unspecified or without cholangitis or cholecystitis,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K80.8,Other cholelithiasis,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K82.0,Obstruction of gallbladder; Occlusion of cystic duct of gallbladder without calculus; Stenosis of cystic duct or gallbladder without calculus; Stricture of cystic duct or gallbladder without calculus,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K82.1,Hydrops of gallbladder; Mucocele of gallbladder,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K82.2,Perforation of gallbladder; Rupture of cystic duct or gallbladder,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K82.3,Fistula of gallbladder; Cholecystocolic fistula; Cholecystoduodenal fistula,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K82.4,Cholesterolosis of gallbladder; Strawberry gallbladder,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K82.8,Other specified diseases of gallbladder; Adhesions of cystic duct or gallbladder; Atrophy of cystic duct or gallbladder; Cyst of cystic duct or gallbladder; Dyskinesia of cystic duct or gallbladder; Hypertrophy of cystic duct or gallbladder; Nonfunctioning of cystic duct or gallbladder; Ulcer of cystic duct or gallbladder,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K83.0,Cholangitis; Cholangitis NOS; Ascending cholangitis; Primary cholangitis; Recurrent cholangitis; Sclerosing cholangitis; Secondary cholangitis; Stenosing cholangitis; Suppurative cholangitis,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K83.1,Obstruction of bile duct; Occlusion of bile duct without calculus; Stenosis of bile duct without calculus; Stricture of bile duct without calculus,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K83.3,Fistula of bile duct; Choledochoduodenal fistula,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K83.4,Spasm of sphincter of Oddi,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K83.5,Biliary cyst,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K83.8,Other specified diseases of biliary tract; Adhesions of bile duct; Atrophy of bile duct; Hypertrophy of bile duct; Ulcer of bile duct,DISEASES OF THE GALLBLADDER AND BILIARY TRACT,
K85,Acute pancreatitis; Abscess of pancreas; Acute necrosis of pancreas; Infective necrosis of pancreas; Pancreatitis NOS; Acute recurrent pancreatitis; Haemorrhagic pancreatitis; Subacute pancreatitis; Supparative pancreatitis,DISEASES OF THE PANCREAS,
K85.0,Idiopathic acute pancreatitis,DISEASES OF THE PANCREAS,
K85.1,Biliary acute pancreatitis; Gallstone pancreatitis,DISEASES OF THE PANCREAS,
K85.2,Alcohol-induced acute pancreatitis,DISEASES OF THE PANCREAS,
K85.8,Other acute pancreatitis,DISEASES OF THE PANCREAS,
K85.9,"Acute pancreatitis, unspecified; Other diseases of pancreas",DISEASES OF THE PANCREAS,
K86.0,Alcohol-induced chronic pancreatitis,DISEASES OF THE PANCREAS,
K86.1,Other chronic pancreatitis; Chronic pancreatitis NOS; Infectious chronic pancreatitis; Recurrent chronic pancreatitis; Relapsing chronic pancreatitis,DISEASES OF THE PANCREAS,
K86.2,Cyst of pancreas,DISEASES OF THE PANCREAS,
K86.3,Pseudocyst of pancreas,DISEASES OF THE PANCREAS,
K86.8,Other specified diseases of pancreas; Atrophy of pancreas; Calculus of pancreas; Cirrhosis of pancreas; Fibrosis of pancreas; Pancreatic infantilism; Pancreatic necrosis NOS; Aseptic pancreatic necrosis; Fat necrosis of pancreas,DISEASES OF THE PANCREAS,
I28.8,Other specified diseases of pulmonary vessels; Rupture of pulmonary vessel; Stenosis of pulmonary vessel; Stricture of pulmonary vessel,DISEASES OF VASCULAR SYSTEM,
I71.0,Dissection of aorta [anypart]; Dissecting aneurysm of aorta (ruptured) [any part],DISEASES OF VASCULAR SYSTEM,
I71.9,Aortic aneurysm of unspecified site without mention of rupture; Aneurysm of aorta; Dilatation of aorta; Hyaline necrosis of aorta,DISEASES OF VASCULAR SYSTEM,
I74.0,Embolism and thrombosis of abdominal aorta; Aortic bifurcation syndrome; Leriche's syndrome,DISEASES OF VASCULAR SYSTEM,
I74.1,Embolism and thrombosis of other and unspecified parts of aorta,DISEASES OF VASCULAR SYSTEM,
I74.2,Embolism and thrombosis of arteries of upper extremities,DISEASES OF VASCULAR SYSTEM,
I74.3,Embolism and thrombosis of arteries of lower extremities,DISEASES OF VASCULAR SYSTEM,
I74.4,"Embolism and thrombosis of arteries of extremities, unspecified; Peripheral arterial embolism",DISEASES OF VASCULAR SYSTEM,
I74.5,Embolism and thrombosis of iliac artery,DISEASES OF VASCULAR SYSTEM,
I74.8,Embolism and thrombosis of other arteries,DISEASES OF VASCULAR SYSTEM,
I74.9,Embolism and thrombosis of unspecified artery,DISEASES OF VASCULAR SYSTEM,
I77.4,Coeliac artery compression syndrome,DISEASES OF VASCULAR SYSTEM,
I77.6,"Arteritis, unspecified; Aortitis NOS; Endarteritis NOS",DISEASES OF VASCULAR SYSTEM,
I77.8,Other specified disorders of arteries and arterioles,DISEASES OF VASCULAR SYSTEM,
I85.0,Oesophageal varices with bleeding,DISEASES OF VASCULAR SYSTEM,
I87.1,Compression of vein; Stricture of vein; Inferior Vena cava syndrome; Superior vena cava syndrome,DISEASES OF VASCULAR SYSTEM,
H30.1,Disseminated chorioretinal inflammation; Disseminated chorioretinitis; Disseminated choroiditis; Disseminated retinitis;  Disseminated retinochoroiditis,DISODERS OF CHOROID AND RETINA,
H30.8,Other chorioretinal inflammations; Harada's disease,DISODERS OF CHOROID AND RETINA,
H31.3,Choroidal haemorrhage and rupture; Choroidal haemorrhage NOS; Choroidal haemorrhage expulsive,DISODERS OF CHOROID AND RETINA,
M80.0,Postmenopausal osteoporosis with pathological fracture,DISORDER OF BONE DENSITY AND STRUCTURE,
M80.1,Postoophorectomy osteoporosis with pathological fracture,DISORDER OF BONE DENSITY AND STRUCTURE,
M80.3,Postsurgical malabsorption osteoporosis with pathological fracture,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.0,Postmenopausal osteoporosis,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.08,Postmenopausal osteoporosis Other,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.1,Postoophorectomy osteoporosis,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.4,Drug-induced osteoporosis,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.40,Drug-induced osteoporosis Multiple site,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.55,Idiopathic osteoporosis Pelvic region and thigh,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.58,Idiopathic osteoporosis Other,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.6,Localized osteoporosis [Lequesne] ,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.8,Other osteoporosis; Senile osteoporosis,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.88,"Other osteoporosis; Senile osteoporosis  Other, head, neck,ribs,skull,trunk,vertebral column",DISORDER OF BONE DENSITY AND STRUCTURE,
M81.89,Other osteoporosis; Senile osteoporosis  Site unspecified,DISORDER OF BONE DENSITY AND STRUCTURE,
M81.9,"Osteoporosis, unspecified",DISORDER OF BONE DENSITY AND STRUCTURE,
M81.95,"Osteoporosis,  Pelvic region and thigh",DISORDER OF BONE DENSITY AND STRUCTURE,
M81.98,"Osteoporosis, Other",DISORDER OF BONE DENSITY AND STRUCTURE,
M83.2,Adult osteomalacia due to malabsorption; Postsurgical malabsorption osteomalacia in adults,DISORDER OF BONE DENSITY AND STRUCTURE,
M83.4,Aluminium bone disease,DISORDER OF BONE DENSITY AND STRUCTURE,
M83.8,Other adult osteomalacia,DISORDER OF BONE DENSITY AND STRUCTURE,
M83.87,Other adult osteomalacia Ankle and foot,DISORDER OF BONE DENSITY AND STRUCTURE,
M83.89,Other adult osteomalacia Site unspecified,DISORDER OF BONE DENSITY AND STRUCTURE,
M83.9,"Adult osteomalacia, unspecified",DISORDER OF BONE DENSITY AND STRUCTURE,
M83.99,"Adult osteomalacia, unspecified Site unspecified",DISORDER OF BONE DENSITY AND STRUCTURE,
M85.0,Fibrous dysplasia (monostotic),DISORDER OF BONE DENSITY AND STRUCTURE,
M85.1,Skeletal fluorosis Multiple site,DISORDER OF BONE DENSITY AND STRUCTURE,
M85.2,Hyperostosis of skull,DISORDER OF BONE DENSITY AND STRUCTURE,
M85.5,Aneurysmal bone cyst,DISORDER OF BONE DENSITY AND STRUCTURE,
M85.55,Aneurysmal bone cyst Pelvic region and thigh,DISORDER OF BONE DENSITY AND STRUCTURE,
M85.6,Other cyst of bone,DISORDER OF BONE DENSITY AND STRUCTURE,
M85.63,Other cyst of bone Forearm,DISORDER OF BONE DENSITY AND STRUCTURE,
M85.65,Other cyst of bone Pelvic region and thigh,DISORDER OF BONE DENSITY AND STRUCTURE,
M85.8,"Other specified disorders of bone density and structure; Hyperostosis of bones, except skull",DISORDER OF BONE DENSITY AND STRUCTURE,
M85.88,"Other specified disorders of bone density and structure; Hyperostosis of bones, except skull  Other",DISORDER OF BONE DENSITY AND STRUCTURE,
M89.38,Hypertrophy of bone Other,DISORDER OF BONE DENSITY AND STRUCTURE,
E75.2,Other sphingolipidosis;  Fabry(-Anderson) Disease; Gaucher  Disease; Krabbe Disease; Niemann-Pick Disease; Faber's syndrome; Metachromatic leukodystrophy; Sulfatase deficiency,DISORDER OF LIPID STORAGE,
E75.4,Neuronal ceroid lipofuscinosis; Batten Disease; Bielschowsky-Jansky Disease; Kufs Disease; pielmeyer-Vogt Disease,DISORDER OF LIPID STORAGE,
E75.5,Other lipid storage disorders; Cerebrotendinous cholesterosis [van Bogaert-Scherer-Epstein]; Wolman's disease,DISORDER OF LIPID STORAGE,
E75.6,"Lipid storage disorder, unspecified",DISORDER OF LIPID STORAGE,
N95.0,Postmenopausal bleeding,DISORDERS ASSOCIATED WITH MENOPAUSE,
E26.0,"Primary hyperaldosteronism; Conn's syndrome;  
Primary aldosteronism due to adrenal hyperplasia (bilateral)",DISORDERS OF ADRENAL GLAND,
E26.1,Secondary hyperaldosteronism,DISORDERS OF ADRENAL GLAND,
E26.8,Other hyperaldosteronism; Bartter's syndrome,DISORDERS OF ADRENAL GLAND,
E26.9,"Hyperaldosteronism, unspecified; Other disorders of adrenal gland",DISORDERS OF ADRENAL GLAND,
E27.1,Primary adrenocortical insufficiency; Addison's disease; Autoimmune adrenalitis,DISORDERS OF ADRENAL GLAND,
E27.2,Addisonian crisis; Adrenal crisis; Adrenocortical crisis,DISORDERS OF ADRENAL GLAND,
E27.3,Drug-induced adrenocortical insufficiency,DISORDERS OF ADRENAL GLAND,
E27.4,"Other and unspecified adrenocortical insufficiency; Adrenal haemorrhage;  Adrenal infarction;
Adrenocortical insufficiency NOS; Hypoaldosteronism",DISORDERS OF ADRENAL GLAND,
E27.8,Other specified disorders of adrenal gland; Abnormality of cortisol-binding globulin,DISORDERS OF ADRENAL GLAND,
E70.0,Classical phenylketonuria,DISORDERS OF AMINO ACID METABOLISM,
E70.1,Other hyperphenylalaninaemias,DISORDERS OF AMINO ACID METABOLISM,
E70.2,Disorders of tyrosine metabolism; Alkaptonuria; Hypertyrosinaemia; Ochronosis; Tyrosinaemia; Tyrosinosis,DISORDERS OF AMINO ACID METABOLISM,
E70.3,"Albinism;  OcularAlbinism; Oculocutaneous Albinism
 Chediak(-Steinbrinck)-Higashi Syndrome;  Cross Syndrome; Hermansky-Pudlak Syndrome",DISORDERS OF AMINO ACID METABOLISM,
E70.8,Other disorders of aromatic amino-acid metabolism; Disorders of histidine metabolism;  Disorders of tryptophan metabolism,DISORDERS OF AMINO ACID METABOLISM,
